pecha id,language,url
PB26626EE,en,https://github.com/OpenPecha/PB26626EE
P2C112C1A,de,https://github.com/OpenPecha/P2C112C1A
P08EA3F8D,es,https://github.com/OpenPecha/P08EA3F8D
P4FBB56F2,fr,https://github.com/OpenPecha/P4FBB56F2
P23E93939,it,https://github.com/OpenPecha/P23E93939
P17AA78AD,nl,https://github.com/OpenPecha/P17AA78AD
P34414446,pt,https://github.com/OpenPecha/P34414446
PA9AEEEEE,zh,https://github.com/OpenPecha/PA9AEEEEE
P95988EC9,bo,https://github.com/OpenPecha/P95988EC9
